Country,Yrs_Edu_Fe
New Zealand,13.95
Iceland,13.78
United States,13.65
Cayman Islands,13.42
Finland,13.33
Switzerland,13.29
Australia,13.26
United Kingdom,13.24
Germany,13.09
Japan,13.05
Bermuda,12.98
Norway,12.8
Israel,12.77
Lithuania,12.69
Latvia,12.64
Denmark,12.56
Sweden,12.38
Puerto Rico,12.36
Georgia,12.26
Bahamas,12.17
Kazakhstan,12.15
Czech Republic,12.13
Estonia,12.05
Hungary,11.99
Slovakia,11.98
Moldova,11.97
Russian Federation,11.96
Slovenia,11.93
Austria,11.91
Belarus,11.85
Poland,11.85
Netherlands,11.63
Cyprus,11.58
Luxembourg,11.35
Armenia,11.34
Tunisia,11.3
Belgium,11.23
France,11.23
Singapore,11.12
Cuba,11.09
Tonga,11.03
Ireland,11.02
South Korea,11.02
Malta,10.92
Qatar,10.92
Greenland,10.87
Egypt,10.8
Marshall Islands,10.73
Trinidad and Tobago,10.67
Montenegro,10.53
Croatia,10.51
Belize,10.49
Turkmenistan,10.46
Kyrgyzstan,10.39
Azerbaijan,10.33
Serbia,10.3
Romania,10.29
Greece,10.27
Ukraine,10.24
Andorra,10.21
Taiwan,10.19
Tajikistan,10.19
South Africa,10.16
Mongolia,10.07
United Arab Emirates,10.07
Canada,9.91
Franch Guyana,9.9
Argentina,9.86
Bulgaria,9.79
Chile,9.77
Venezuela,9.73
Italy,9.71
Malaysia,9.62
Spain,9.61
Jamaica,9.53
Panama,9.49
Philippines,9.48
Albania,9.47
Fiji,9.4
Jordan,9.28
Gabon,9.1
Barbados,9.08
Saudi Arabia,8.98
Portugal,8.91
Bahrain,8.84
Suriname,8.84
Uruguay,8.82
Costa Rica,8.71
Saint Lucia,8.7
Nicaragua,8.6
Viet Nam,8.6
Palestine,8.59
Peru,8.44
Uzbekistan,8.4
Mexico,8.21
Ecuador,8.16
Paraguay,8.12
Zambia,8.04
Mauritius,7.98
Dominican Republic,7.91
Dominica,7.9
Bosnia and Herzegovina,7.75
Thailand,7.67
"Bolivia, Plurinational State of",7.6
Oman,7.53
Brazil,7.46
Kuwait,7.33
Lebanon,7.31
Zimbabwe,7.3
Colombia,7.1
Lao People's Democratic Republic,7.1
Indonesia,7
Turkey,7
Guatemala,6.95
Nigeria,6.7
China,6.61
Samoa,6.54
Guyana,6.5
Iran,6.42
India,6.4
El Salvador,6.25
Honduras,6.23
Iraq,6.2
Niue,6.04
Lesotho,5.95
Morocco,5.8
Algeria,5.73
Syrian Arab Republic,5.72
Namibia,5.65
Ghana,5.64
Liberia,5.5
Mauritania,5.5
Djibouti,5.4
Cook Islands,5.38
Sao Tome and Principe,5.26
Kenya,5.05
Tanzania,4.89
Swaziland,4.72
Yemen,4.6
Mozambique,4.41
Sierra Leone,4.3
Uganda,4.17
Seychelles,4.12
Papua New Guinea,4.01
Madagascar,4
South Sudan,3.98
Sudan,3.98
Cameroon,3.9
Central African Republic,3.9
Angola,3.71
Pakistan,3.67
Bangladesh,3.63
Maldives,3.33
Rwanda,3.28
Cambodia,2.83
Eritrea,2.53
Congo,2.01
Democratic Republic of Congo,2.01
Malawi,1.87
Libya,1.81
Senegal,1.79
Benin,1.69
Bhutan,1.63
Mali,1.51
Ethiopia,1.45
Somaliland,1.4
Botswana,1.32
Somalia,1.3
Myanmar,0.97
Guinea,0.73
Chad,0.68
Haiti,0.64
Burkina Faso,0.28
Gambia,0.27
Nepal,0.22
Afghanistan,0.16
Togo,0.16
Niger,0.1
North Korea,8.58
Sri Lanka,9.68
Western Sahara,3.92
